ID,fullName,originPlanet,stardustCollection,wormholeNavigationSkill,spacesuitColour,department_ID,position_ID
724dcb1b-ffce-4d88-be81-160466cb8fee,"Peter Jason Quill","Earth-616",564,97,"blue-red",2d100d3e-eb71-4832-a4bd-6a3a0f16886c,0e0bb5dd-ddba-4708-a48e-4c4c2c6896fc
8cf9eddb-12f8-4ea7-b6fd-8b238ea6cace,"Gamora Zen Whoberi Ben Titan","Earth-7528",420,25,"purple",2d100d3e-eb71-4832-a4bd-6a3a0f16886c,939725d2-7203-4b03-9a85-490a0fa9a709
94ad0490-67d8-40ac-8f1f-6a2952f3b894,"Rocket Racoon Subject 89P13","Earth-616",689,99,"red-bue",2d100d3e-eb71-4832-a4bd-6a3a0f16886c,335473c7-be34-46af-9b15-236d60fc8ec9
8cf5d0ad-14dd-4239-b3bd-78991e906823,"Groot","Planet X",20,8,"brown-green",2d100d3e-eb71-4832-a4bd-6a3a0f16886c,b675f2a1-04a2-46a6-b886-533afca5ab35
43f4408c-7f2e-4da4-bcf5-9980be41d2b0,"Yondu Udonta","Centauri-IV",793,98,"red",a6d76659-ccf2-4cde-a3c6-b14d7a5868f1,0e0bb5dd-ddba-4708-a48e-4c4c2c6896fc
8d725d44-2874-4a61-bba9-ce43f8028bd0,"Cosmo","Earth-616",17,15,"white-red",e7723810-335f-4ad5-a0b5-cc29d3c8cb9d,ba51ed06-447e-4564-b363-eeb875884691
fc2f9aec-c771-4e42-8dd0-9fb0274ad6b0,"Mantis","Planet Y",0,0,"blue-red",a1fdeac1-cca7-4e1b-b41f-da199684723c,938393c8-ce87-4aca-a2f9-baee9cf89570
ce335db3-7bd8-413b-ac52-aa07a9950748,"Drax the Distroyer","Mount Kylos",600,34,"blue-red",2d100d3e-eb71-4832-a4bd-6a3a0f16886c,b675f2a1-04a2-46a6-b886-533afca5ab35
37cf0ceb-25c6-49f4-bd01-7267b634427b,"Thanos","Titan",322,54,"blue-gold",a23ef134-ed2c-490f-9a0d-ff5e0b34b49a,579b1dde-b249-41d3-aacd-a921fda0b1c2
e39d5f58-a6d4-42d3-9b37-f0d78fbdc2c3,"Ronan the Accuser","Hala",263,25,"black-red",86a0a49d-5b4e-41b5-91da-82a14c36e6b9,579b1dde-b249-41d3-aacd-a921fda0b1c2
7bc91528-e9be-427c-afda-7eb7b1c7969c,"Ayesha","The Sovereign",0,0,"gold",62f55e7f-1b0b-43d0-961b-512a72cd24ef,c2b75b24-3556-4fd8-b7df-e9dacec1a046
8c999721-1d3f-43b4-b4c0-aa486dbb1b9a,"Kevin Bacon","Earth-616",0,0,"black",1c328bba-8d65-4c53-a391-10adab9a9399,33782536-1a19-47d6-a605-0ef64183d2b1
